"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"5596",16,1290,"",7,8,645,4,"","Prenda"
"5498",8,900,"",7,8,450,4,"","Prenda"
"5599",13,1650,"",7,8,825,4,"","Prenda"
"5600",8,1850,"",7,8,925,4,"","Prenda"
"5601",0,1800,"",7,8,900,4,"","Prenda"
"5603",5,1300,"",7,8,650,4,"","Prenda"
"5605",8,1580,"",7,8,790,4,"","Prenda"
"5606",5,1900,"",7,8,950,4,"","Prenda"
"5607",12,1900,"",7,8,950,4,"","Prenda"
"5609",10,1950,"",7,8,975,4,"","Prenda"
"5610",7,1990,"",7,8,995,4,"","Prenda"
"5611",15,1850,"",7,8,925,4,"","Prenda"
"**306",1,400,"",8,9,200,4,"","Prenda"
"**314",5,500,"",8,9,250,4,"","Prenda"
"**313",7,500,"",8,9,250,4,"","Prenda"
"**722",18,1860,"",8,9,930,4,"","Prenda"
"0725",4,1060,"",8,9,530,4,"","Prenda"
"**0730",29,1560,"",8,9,780,4,"","Prenda"
"0752",1,1500,"",8,9,750,4,"","Prenda"
"0755",2,1100,"",8,9,550,4,"","Prenda"
"**765",24,1860,"",8,9,930,4,"","Prenda"
"**772",3,1500,"",8,9,750,4,"","Prenda"
"**774",4,1400,"",8,9,700,4,"","Prenda"
"**780",8,1560,"",8,9,780,4,"","Prenda"
"**790",5,1400,"",8,9,700,4,"","Prenda"
"**791",9,1640,"",8,9,820,4,"","Prenda"
"**794",12,1700,"",8,9,850,4,"","Prenda"
"**799",12,1600,"",8,9,800,4,"","Prenda"
"**801",5,960,"",8,9,480,4,"","Prenda"
"**804",3,1200,"",8,9,600,4,"","Prenda"
"**805",6,1360,"",8,9,680,4,"","Prenda"
"**807",3,1200,"",8,9,600,4,"","Prenda"
"**810",2,1640,"",8,9,820,4,"","Prenda"
"**811",12,1720,"",8,9,860,4,"","Prenda"
"**812",4,1700,"",8,9,850,4,"","Prenda"
"**815",7,2200,"",8,9,1100,4,"","Prenda"
"**819",9,1700,"",8,9,850,4,"","Prenda"
"**825",3,1600,"",8,9,800,4,"","Prenda"
"**826",5,1500,"",8,9,750,4,"","Prenda"
"827",13,1700,"",8,9,850,4,"","Prenda"
"**829",2,1700,"",8,9,850,4,"","Prenda"
