"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"7573",1,1800,"",10,11,900,3,"","Prenda"
"7599",4,1230,"",10,11,615,3,"","Prenda"
"7605",4,630,"",10,11,315,3,"","Prenda"
"7611",1,1000,"**que bajo a 550",10,11,500,3,"","Prenda"
"7647",1,1900,"",10,11,950,3,"","Prenda"
"7663",1,800,"",10,11,400,3,"","Prenda"
"7685",2,1700,"",10,11,850,3,"","Prenda"
"7703",2,972,"",10,11,486,3,"","Prenda"
"7715",1,2000,"",10,11,1000,3,"","Prenda"
"7721",1,1600,"",10,11,800,3,"","Prenda"
"7749",1,1680,"",10,11,840,3,"","Prenda"
"7755",4,1000,"",10,11,500,3,"","Prenda"
"7761",6,1000,"",10,11,500,3,"","Prenda"
"7765",2,800,"",10,11,400,3,"","Prenda"
"7799",1,500,"",10,11,250,3,"","Prenda"
"7803",1,1700,"",10,11,850,3,"","Prenda"
"7807",0,2400,"",10,11,1200,3,"","Prenda"
"7837",1,700,"",10,11,350,3,"","Prenda"
"7839",1,1560,"",10,11,780,3,"","Prenda"
"7877",1,850,"",10,11,425,3,"","Prenda"
"7895",1,1700,"",10,11,850,3,"","Prenda"
"7899",2,674,"",10,11,337,3,"","Prenda"
"7903",2,1330,"",10,11,665,3,"","Prenda"
"8007",2,574,"",10,11,287,3,"","Prenda"
"8089",1,1100,"",10,11,550,3,"","Prenda"
"8093",2,1260,"",10,11,630,3,"","Prenda"
"8097",1,2130,"",10,11,1065,3,"","Prenda"
"8099",2,1700,"",10,11,850,3,"","Prenda"
"8145",6,2200,"81451",10,11,1100,3,"","Prenda"
"8153",2,1800,"",10,11,900,3,"","Prenda"
"8167",1,1900,"",10,11,950,3,"","Prenda"
"8203",10,700,"",10,11,350,3,"","Prenda"
"8211",2,490,"",10,11,245,3,"","Prenda"
"8253",8,1200,"",10,11,600,3,"","Prenda"
"8291",4,1580,"",10,11,790,3,"","Prenda"
"8401",1,1470,"",10,11,735,3,"","Prenda"
"8413",1,200,"rebaja",10,11,100,3,"","Prenda"
"8499",3,1760,"",10,11,880,3,"","Prenda"
"8519",17,1260,"",10,11,630,3,"","Prenda"
"8535",10,1400,"",10,11,700,3,"","Prenda"
"8547",3,1610,"",10,11,805,3,"","Prenda"
"8571",3,2100,"",10,11,1050,3,"","Prenda"
"8581",4,1260,"",10,11,630,3,"","Prenda"
"8591",2,1300,"",10,11,650,3,"","Prenda"
"8607",4,2000,"",10,11,1000,3,"","Prenda"
"8613",10,2000,"",10,11,1000,3,"","Prenda"
"8615",10,1980,"",10,11,990,3,"","Prenda"
"8653",6,1900,"",10,11,950,3,"","Prenda"
"8659",5,1260,"",10,11,630,3,"","Prenda"
"8663",2,2000,"",10,11,1000,3,"","Prenda"
"8669",3,2200,"",10,11,1100,3,"","Prenda"
"8679",5,1900,"",10,11,950,3,"","Prenda"
"8691",4,2200,"",10,11,1100,3,"","Prenda"
"8707",4,2000,"",10,11,1000,3,"","Prenda"
"8721",4,2100,"",10,11,1050,3,"","Prenda"
"8729",8,1400,"",10,11,700,3,"","Prenda"
"8753",8,1900,"",10,11,950,3,"","Prenda"
"8775",7,2200,"",10,11,1100,3,"","Prenda"
"8784",16,2400,"",10,11,1200,3,"","Prenda"
"8797",4,1540,"",10,11,770,3,"","Prenda"
"8811",5,1600,"",10,11,800,3,"","Prenda"
"8827",2,1820,"",10,11,910,3,"","Prenda"
"8833",6,2200,"",10,11,1100,3,"","Prenda"
"8841",10,2100,"",10,11,1050,3,"","Prenda"
"8849",1,2200,"",10,11,1100,3,"","Prenda"
"8867",5,2000,"",10,11,1000,3,"","Prenda"
