"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"856",2,1600,"",8,9,800,4,"","Prenda"
"**857",5,1800,"",8,9,900,4,"","Prenda"
"***Chal",20,260,"",8,9,130,4,"","Prenda"
"**chal",1,120,"",8,9,60,4,"","Prenda"
"2096",3,1300,"",4,4,650,4,"","Prenda"
"3956",7,800,"",4,4,400,4,"","Prenda"
"3979",4,1800,"",4,4,900,4,"","Prenda"
"4024",15,1580,"",4,4,790,4,"","Prenda"
"4036",8,1240,"",4,4,620,4,"","Prenda"
"4037",9,1500,"",4,4,750,4,"","Prenda"
"4053",3,1080,"",4,4,540,4,"","Prenda"
"4150",6,1800,"",4,4,900,4,"","Prenda"
"4174",2,1998,"",4,4,999,4,"","Prenda"
"4188",4,1480,"",4,4,740,4,"","Prenda"
"4189",4,1980,"",4,4,990,4,"","Prenda"
"4192",4,2300,"",4,4,1150,4,"","Prenda"
"4218",5,1440,"",4,4,720,4,"","Prenda"
"4224",4,2360,"",4,4,1180,4,"","Prenda"
"4264",5,1600,"",4,4,800,4,"","Prenda"
"4268",4,2200,"",4,4,1100,4,"","Prenda"
"4285",8,2200,"",4,4,1100,4,"","Prenda"
"4312",2,1700,"",4,4,850,4,"","Prenda"
"4340",3,1920,"",4,4,960,4,"","Prenda"
"4342",2,2400,"",4,4,1200,4,"","Prenda"
"4351",5,1700,"",4,4,850,4,"","Prenda"
"4357",3,3400,"",4,4,1700,4,"","Prenda"
"4365",1,2400,"",4,4,1200,4,"","Prenda"
"4373",5,1690,"",4,4,845,4,"","Prenda"
"4395",4,2090,"",4,4,1045,4,"","Prenda"
"4405",7,1950,"",4,4,975,4,"","Prenda"
"4416",7,1538,"",4,4,769,4,"","Prenda"
"4431",3,3300,"",4,4,1650,4,"","Prenda"
"4443",4,3740,"",4,4,1870,4,"","Prenda"
"4446",3,1620,"",4,4,810,4,"","Prenda"
"4447",4,1958,"",4,4,979,4,"","Prenda"
