Mod.,pza.inv.ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
4214 Lessan,5,5,,1499,0,0,7495,
4218 Lessan,8,8,,720,0,0,5760,
4223 Lessan,2,2,,720,0,0,1440,
4224 Lessan,0,0,,1180,0,0,0,
4229 Lessan,6,5,,550,1,550,2750,
4232 Lessan,13,13,,1300,0,0,16900,
4233 Lessan,5,5,,900,0,0,4500,
4234 Lessan,4,4,,960,0,0,3840,
4242 Lessan,1,0,1,800,0,0,0,
4258 Lessan,3,2,,890,1,890,1780,
4274 Lessan,4,4,,950,0,0,3800,
4291 Lessan,7,6,,1190,1,1190,7140,
4297 Lessan,5,4,,1250,1,1250,5000,
4304 Lessan,4,4,,1199,0,0,4796,
4308 Lessan,3,3,,1150,0,0,3450,
4312 Lessan,5,5,,850,0,0,4250,
4329 Lessan,8,5,,799,3,2397,3995,
14028 Lessan,12,12,,620,0,0,7440,
14037 Lessan,7,7,,620,0,0,4340,
14043 Lessan,4,3,1,990,0,0,2970,
14045 Lessan,5,5,,1150,0,0,5750,
14046 Lessan,1,1,,1090,0,0,1090,
14053 Lessan,5,5,,800,0,0,4000,
14056 Lessan,10,10,,700,0,0,7000,
14060 Lessan,4,4,,970,0,0,3880,
14061 Lessan,4,3,,860,1,860,2580,
14067 Lessan,6,6,,1300,0,0,7800,
14073 Lessan,6,6,,1350,0,0,8100,
14074 Lessan,7,6,,999,1,999,5994,
036 Cocoon,7,7,,115,0,0,805,
1009 Cocoon,14,14,,90,0,0,1260,
1116 Cocoon,21,18,,90,3,270,1620,copas silic
1025 Cocoon,12,8,,135,4,540,1080,copas tela
1403 Cocoon,4,4,,75,0,0,300,
1425 Cocoon,20,7,,210,13,2730,1470,Nedly
1881 Cocoon,2,2,,100,0,0,200,
103 Dmoseli,1,1,,450,0,0,450,
117 Dmoseli ,8,8,,250,0,0,2000,
1777 Libertad,2,2,,250,0,0,500,
bolero libertad,1,1,,200,0,0,200,
1122 Libertad,22,22,,550,0,0,12100,
1129 Libertad,9,9,,600,0,0,5400,
1220 Libertad,11,8,,650,3,1950,5200,
1240 Libertad,18,12,2,600,4,2400,7200,
1449 Libertad,12,9,,600,3,1800,5400,
1551 Libertad,8,8,,600,0,0,4800,
1554 Libertad,7,6,,600,1,600,3600,
1766 Libertad,18,17,,650,1,650,11050,
1771 Libertad,4,4,,600,0,0,2400,
9070 Eli Corame,6,5,,500,1,500,2500,
9032 Eli Corame,7,6,,500,1,500,3000,
9033 Eli Corame,1,1,,600,0,0,600,
9071 Eli Corame,9,7,,600,2,1200,4200,
9100 Eli Corame,2,2,,600,0,0,1200,
9201 Eli Corame,1,0,,600,1,600,0,
9205 Eli Corame,0,0,,600,0,0,0,
9208 Eli Corame,13,12,,600,1,600,7200,
9239 Eli Corame,6,5,,600,1,600,3000,
9260 Eli Corame,6,5,,500,1,500,2500,
9301 Eli Corame,7,7,,500,0,0,3500,
9302 Eli Corame,13,9,,600,4,2400,5400,
9310 Eli Corame,6,6,,500,0,0,3000,
9315 Eli Corame,4,3,,500,1,500,1500,
9320 Eli Corame,5,5,,600,0,0,3000,
9375 Eli Corame,6,6,,600,0,0,3600,
634 Bianchi,1,1,,1100,0,0,1100,
8345 Bianchi,9,7,,1000,2,2000,7000,
514 Bianchi,4,4,,1100,0,0,4400,
508 Bianchi,4,3,,900,1,900,2700,
344 Bianchi,8,5,,850,3,2550,4250,
