Mod.,pza.inv.ant,Exi,Dv.,costo x uni,Pzas.ve,To.ve.,X. ve.,Obser.
9375 Eli Corame,6,6,,600,0,0,3600,
1425 Cocoon,34,34,,210,0,0,7140,
1025 Cocoon,5,5,,105,0,0,525,
1122 Libertad,1,1,,550,0,0,550,
1132 Libertad,5,5,,600,0,0,3000,
1220 Libertad,7,7,,650,0,0,4550,
1240 Libertad,4,3,,650,1,650,1950,
1551 Libertad,12,11,,600,1,600,6600,
1554 Libertad,12,12,,600,0,0,7200,
1662 Libertad,11,11,,600,0,0,6600,
1766 Libertad,13,13,,650,0,0,8450,
1771 Libertad,1,1,,600,0,0,600,
COPAS,0,0,,150,0,0,0,
Chalbor._Clau.,19,19,,200,0,0,3800,
Chalbor.angost.,3,3,,150,0,0,450,
CHAL-EVE.,5,5,,80,0,0,400,
saco_modelo,7,7,,80,0,0,560,
bolero_modelo,15,15,,60,0,0,900,
Chal-shifon.,32,32,,60,0,0,1920,
Saco_Shifon,52,52,,150,0,0,7800,
Toreritas_vest,14,14,,100,0,0,1400,
capitas_vest,5,5,,50,0,0,250,
