"modelo","provedor","marca","existencias","costo","nombre_prenda"
"1553 ","Libertad","Libertad",5,600,"Vestido"
"1554 ","Libertad","Libertad",14,600,"Vestido"
"1665 ","Libertad","Libertad",8,650,"Vestido"
"9070 ","Eli Corame","Eli Corame",9,500,"Vestido"
"9032 ","Eli Corame","Eli Corame",11,500,"Vestido"
"9040 ","Eli Corame","Eli Corame",4,500,"Vestido"
"9071 ","Eli Corame","Eli Corame",8,600,"Vestido"
"9080 ","Eli Corame","Eli Corame",8,560,"Vestido"
"9088 ","Eli Corame","Eli Corame",4,500,"Vestido"
"9099 ","Eli Corame","Eli Corame",0,600,"Vestido"
"9112 ","Eli Corame","Eli Corame",9,500,"Vestido"
"9100 ","Eli Corame","Eli Corame",12,600,"Vestido"
"9101 ","Eli Corame","Eli Corame",4,600,"Vestido"
"9110 ","Eli Corame","Eli Corame",0,600,"Vestido"
"9121 ","Eli Corame","Eli Corame",5,650,"Vestido"
"9099 ","Eli Corame","Eli Corame",3,600,"Vestido"
"9201 ","Eli Corame","Eli Corame",2,600,"Vestido"
"712 ","Punto Blanco","Punto Blanco",1,400,"Vestido"
"719 ","Punto Blanco","Punto Blanco",1,400,"Vestido"
"720-A ","Punto Blanco","Punto Blanco",3,400,"Vestido"
"720 ","Punto Blanco","Punto Blanco",3,400,"Vestido"
"726 ","Punto Blanco","Punto Blanco",2,400,"Vestido"
"727 ","Punto Blanco","Punto Blanco",7,400,"Vestido"
