Mod.,Pza.mes ant,Exi,Dv.,P.X uni,Pzas.ve,To.ve.,X. ve.,Obser.
8499 Bianchi,2,2,,880,0,0,"1,760",
8519 Bianchi,13,13,,630,0,0,"8,190",
8535 Bianchi,9,7,,700,2,"1,400","4,900",
8547 Bianchi,3,3,,805,0,0,"2,415",
8571 Bianchi,2,2,,"1,050",0,0,"2,100",
8581 Bianchi,7,7,,630,0,0,"4,410",
8591 Bianchi,0,0,,650,0,0,0,
8607 Bianchi,0,0,,"1,000",0,0,0,
8613 Bianchi,6,5,,"1,000",1,"1,000","5,000",
8615 Bianchi,6,6,,990,0,0,"5,940",
8653 Bianchi,7,7,,950,0,0,"6,650",
8659 Bianchi,4,3,,630,1,630,"1,890",
8663 Bianchi,1,1,,"1,000",0,0,"1,000",
8669 Bianchi,4,4,,"1,100",0,0,"4,400",
8679 Bianchi,2,2,,950,0,0,"1,900",
8691 Bianchi,3,3,,"1,100",0,0,"3,300",
8707 Bianchi,8,8,,"1,000",0,0,"8,000",
8713 Bianchi,14,11,,"1,100",3,"3,300","12,100",
8721 Bianchi,2,2,,"1,050",0,0,"2,100",
8729 Bianchi,4,4,,700,0,0,"2,800",
8753 Bianchi,4,4,,950,0,0,"3,800",
8775 Bianchi,3,3,,"1,100",0,0,"3,300",
8784 Bianchi,16,16,,"1,200",0,0,"19,200",
8797 Bianchi,3,3,,770,0,0,"2,310",
8811 Bianchi,0,0,,800,0,0,0,
8827 Bianchi,3,3,,910,0,0,"2,730",
8833 Bianchi,3,3,,"1,100",0,0,"3,300",
8837 Bianchi,3,2,,"1,300",1,"1,300","2,600",
8841 Bianchi,6,6,,"1,050",0,0,"6,300",
8849 Bianchi,0,0,,"1,100",0,0,0,
8867 Bianchi,7,7,,"1,000",0,0,"7,000",
8875 Bianchi,6,5,,"1,200",1,"1,200","6,000",
8891 Bianchi,6,6,,"1,000",0,0,"6,000",
8895 Bianchi,14,11,,"1,100",3,"3,300","12,100",
8901 Bianchi,3,3,,930,0,0,"2,790",
8913 Bianchi,4,3,,"1,200",1,"1,200","3,600",
8917 Bianchi,16,14,,"1,000",2,"2,000","14,000",
9001 Bianchi,5,5,,"1,000",0,0,"5,000",
9003 Bianchi,10,10,,780,0,0,"7,800",
9017 Bianchi,8,7,,800,1,800,"5,600",
9039 Bianchi,10,10,,750,0,0,"7,500",
9073 Bianchi,5,5,,900,0,0,"4,500",
18515 Bianchi,3,3,,"1,100",0,0,"3,300",
18629 Bianchi,6,6,,950,0,0,"5,700",
28993 Bianchi,5,5,,900,0,0,"4,500",
56951 Bianchi,2,2,,700,0,0,"1,400",
,,,,,0,0,0,
819 Pun.Bco,6,6,,850,0,0,"5,100",
793 Pun. Bco,7,7,,400,0,0,"2,800",
757 Pun.Bco,6,6,,650,0,0,"3,900",
797 Pun.Bco,5,4,,800,1,800,"3,200",
826 Pun.Bco,5,5,,750,0,0,"3,750",
832 Pun.Bco,10,10,,630,0,0,"6,300",
837 Pun.Bco,12,12,,750,0,0,"9,000",
,,,,,0,0,0,
002 Vestimenta,12,12,,"1,300",0,0,"15,600",
004 Vestimenta,12,12,,"1,150",0,0,"13,800",
006 Vestimenta,12,0,10,"1,050",2,"2,100",0,
,,,,,0,0,0,
ASLH-056 Nyx,4,4,,500,0,0,"2,000",
CC-1018 Nyx,5,4,,850,1,850,"3,400",
CD-9041 Nyx,6,6,,250,0,0,"1,500",
JE-2001 Nyx,3,3,,"1,900",0,0,"5,700",
JE-3001 Nyx,4,4,,700,0,0,"2,800",
GL-51053 Nyx,5,4,,500,1,500,"2,000",
CDC-1780 Nyx,1,1,,"1,300",0,0,"1,300",1 NUESTRO
NA-2112 Nyx,1,1,,"1,500",0,0,"1,500",nuestro
NA-2526 Nyx,1,1,,"1,500",0,0,"1,500",1 NUESTRO
NA-6049 Nyx,5,5,,500,0,0,"2,500",
SP-1075-A Nyx,1,1,,"1,500",0,0,"1,500",nuestro
SP-5913 Nyx,6,6,,800,0,0,"4,800",
,,,,,0,0,0,
Capitas Clau,6,6,,100,0,0,600,
Clau Chal bor,6,6,,200,0,0,"1,200",
Chal-tafeta,1,1,,100,0,0,100,
Chal-agua,3,3,,80,0,0,240,
CHAL-EVE,3,3,,70,0,0,210,
Chal-shifón,9,9,,60,0,0,540,
bolerito,14,14,,60,0,0,840,
Bolero,117,117,,120,0,0,"14,040",
Saco shifón,30,30,,150,0,0,"4,500",
,,,,,0,0,0,
COPAS,0,0,,150,0,0,0,
,,,,,0,0,0,
Zapatos,3,3,,0,0,0,0,
,1110,1064,10,,36,"34,023","726,993",del 9 Mayo
ENTRADAS,,,A CUENTA,INV:9 Mayo,,SALIDAS,,AL 21 Mayo
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,0,,
,,,,,,"34,023",,
,,,,Subdeb.,,,0,
,,,4571 a/c$500 R=$1400/22jun(1092),,,,,
,,,,,,,,
,,,7599 a/C$500 R=$1450/17jun(1295),,,,,
,,,6719 a/C$300 R=$700/27feb(856),,,,,
,,,,,,,,
,,,1706 a/C$500 R=$1300/10-11-18(2897),,,,,
,,,8917 a/C$500 R=$1300/30-3-19(3277),,,,,
,,,,,,,,
,,,7749 a/c$500 R=$1540/19jul(1437),,,,,
,,,,,,,,
,,,,,,,,
,,,266 a/c$500 R=$1450/16jul(1414),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
RESTOS BIANCA,,,,,,,,
6201Bian a/c$500R=$1300/29mar(n.1280),,,,,,,,
5115 Bian a/c$500R=$1150/7jun(n.594),,                                 ,56951 a/C$300 R=$1150/9mzo(3459),,,,,
6279 Bianch a/c$500R=$1300/15jun(n.1533),,,344 a/C$500 R=$1100/29oct(4453),,,,,
4839Bianca a/c$300R=$1200/4oct(n.671),,,8345 a/c$500 R=$1200/29oct(4152),,,,,
,5938 D´Tur a/c$1000R=$700/23 feb(n069),,,,,,,
,5687 Bian a/c$500R=$1100/21may(n.433),,,,,,,
,5467 a/C$700 R=$.../18enereo14(131),,,,,,,
,7379 a/C$500 R=$400/27abril(2287),,,,,,,
,7729 a/C$600 R=$1000/6sep(2798),,,,,,,
,7729 a/C$500 R=$1100/11sep(2833),,,,,,,
,6885 a/C$1000 R=$750/8oct(2966),,,,,,,
,6885 a/C$1000 R=$750/8oct(2968),,,,,,,
,,,,,,,,
,6771 a/c$500R=$150023abril(n.3346),,,,,,,
,56951 a/c$300 R=$1150/9marzo(3459),,770 a/c$1500 R=1500(3320),,,,,
,,,8784 a/C$1200 R=$950(3373),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,797 a/C$1250 R=$150/3394),,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
