"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"SP-1075-A",1,3000,"nuestro",6,7,1500,3,""
"Capitas_Clau",6,200,"",11,12,100,3,""
"Clau_Chal_bor",6,400,"",11,12,200,3,""
"Chal-tafeta",1,200,"",11,12,100,3,""
"Chal-agua",3,160,"",11,12,80,3,""
"CHAL-EVE",3,140,"",11,12,70,3,""
"Chal-shifón",9,120,"",11,12,60,3,""
"bolerito",14,120,"",11,12,60,3,""
"Bolero",117,240,"",11,12,120,3,""
"Saco_shifón",30,300,"",11,12,150,3,""
"COPAS",0,300,"",11,12,150,3,""
