"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas"
"3359",2,1700,"",4,4,850,4,""
"3501",6,1140,"",4,4,570,4,""
"3718",4,1300,"",4,4,650,4,""
"3738",1,1300,"",4,4,650,4,""
"3752",7,1300,"",4,4,650,4,""
"3834",2,1240,"",4,4,620,4,""
"3845",6,1160,"",4,4,580,4,""
"3860",6,1300,"",4,4,650,4,""
"3879",0,1500,"",4,4,750,4,""
"3888",0,1100,"",4,4,550,4,""
"3895",0,1440,"",4,4,720,4,""
"3898",4,2260,"",4,4,1130,4,""
"3934",6,1300,"",4,4,650,4,""
"3956",7,800,"",4,4,400,4,""
"3964",5,1240,"",4,4,620,4,""
"3979",13,1300,"",4,4,650,4,""
"4002",9,1180,"",4,4,590,4,""
"4010",5,1180,"",4,4,590,4,""
"4022",7,1780,"",4,4,890,4,""
"4024",15,1580,"",4,4,790,4,""
"4036",8,1240,"",4,4,620,4,""
"4037",8,1500,"",4,4,750,4,""
"4041",3,1180,"",4,4,590,4,""
"4053",3,1080,"",4,4,540,4,""
"4054",9,1440,"",4,4,720,4,""
"4061",4,1340,"",4,4,670,4,""
"4076",5,1360,"",4,4,680,4,""
"4077",1,1600,"",4,4,800,4,""
"4095",0,1900,"",4,4,950,4,""
"4119",16,1320,"",4,4,660,4,""
"4133",2,1360,"",4,4,680,4,""
"4141",1,1500,"",4,4,750,4,""
"4150",7,1800,"",4,4,900,4,""
"4153",0,1780,"",4,4,890,4,""
"4154",2,1900,"",4,4,950,4,""
"4164",3,1980,"",4,4,990,4,""
"4169",4,1580,"",4,4,790,4,""
"4175",5,2300,"",4,4,1150,4,""
"4187",5,1398,"",4,4,699,4,""
"4188",4,1480,"",4,4,740,4,""
"4196",6,1700,"",4,4,850,4,""
"4210",5,1700,"",4,4,850,4,""
"4214",4,2998,"",4,4,1499,4,""
"4218",4,1440,"",4,4,720,4,""
"4221",1,1800,"",4,4,900,4,""
"4223",3,1440,"",4,4,720,4,""
"4224",4,2360,"",4,4,1180,4,""
"4232",4,2600,"",4,4,1300,4,""
"4233",9,1800,"",4,4,900,4,""
"4234",4,1920,"",4,4,960,4,""
"4238",2,1960,"",4,4,980,4,""
"4242",3,1500,"",4,4,750,4,""
"4258",7,1780,"",4,4,890,4,""
"4262",3,2500,"",4,4,1250,4,""
"4263",2,1700,"",4,4,850,4,""
"4264",4,1500,"",4,4,750,4,""
"4274",4,1900,"",4,4,950,4,""
"4275",2,1920,"",4,4,960,4,""
"4291",1,2398,"",4,4,1199,4,""
"4304",4,2398,"",4,4,1199,4,""
"4308",3,2300,"",4,4,1150,4,""
"4312",2,1700,"",4,4,850,4,""
"4329",1,1598,"",4,4,799,4,""
"14023",7,1100,"",4,4,550,4,""
"14028",5,1100,"",4,4,550,4,""
"14053",4,1600,"",4,4,800,4,""
"14056",3,1400,"",4,4,700,4,""
"14060",4,1940,"",4,4,970,4,""
"14061",4,1720,"",4,4,860,4,""
"9032",6,1000,"",2,2,500,4,""
"9033",3,1200,"",2,2,600,4,""
"9071",4,1200,"",2,2,600,4,""
"9080",0,1120,"",2,2,560,4,""
"9100",4,1200,"",2,2,600,4,""
"9112",2,1000,"",2,2,500,4,""
"9201",7,1200,"",2,2,600,4,""
"9205",5,1200,"",2,2,600,4,""
"9239",3,1200,"",2,2,600,4,""
"9310",5,1000,"",2,2,500,4,""
"9315",4,1000,"",2,2,500,4,""
"9320",6,1200,"",2,2,600,4,""
"9375",6,1200,"",2,2,600,4,""
"1425",34,420,"",1,1,210,4,""
"1025",5,210,"",1,1,105,4,""
"1122",1,1100,"",5,5,550,4,""
"1132",5,1200,"",5,5,600,4,""
"1220",7,1300,"",5,5,650,4,""
"1240",3,1300,"",5,5,650,4,""
"1551",11,1200,"",5,5,600,4,""
"1554",12,1200,"",5,5,600,4,""
"1662",11,1200,"",5,5,600,4,""
"1766",13,1300,"",5,5,650,4,""
"1771",1,1200,"",5,5,600,4,""
"COPAS",0,300,"",11,12,150,4,""
"Chalbor._Clau.",19,400,"",11,12,200,4,""
"Chalbor.angost.",3,300,"",11,12,150,4,""
"CHAL-EVE.",5,160,"",11,12,80,4,""
"saco_modelo",7,160,"",11,12,80,4,""
"bolero_modelo",15,120,"",11,12,60,4,""
"Chal-shifon.",32,120,"",11,12,60,4,""
"Saco_Shifon",52,300,"",11,12,150,4,""
"Toreritas_vest",14,200,"",11,12,100,4,""
"capitas_vest",5,100,"",11,12,50,4,""
