modelo,nombre,n_existencias,precio,descripcion,id_proveedor,id_marca,costo,id_tienda,notas
001,Punto Blanco,6,700.00,"",8,9,350.00,1,""
0714,Punto Blanco,2,1300.00,"",8,9,650.00,1,""
714,Punto Blanco,8,1500.00,"",8,9,750.00,1,""
722,Punto Blanco,36,1860.00,"",8,9,930.00,1,""
722,Bianchi,2,1700.00,"",10,11,850.00,1,""
722,Ema Valdemosa,1,1700.00,"",3,3,850.00,1,""
0725,Punto Blanco,3,1060.00,"",8,9,530.00,1,""
730,Punto Blanco,24,1860.00,dev clienta,8,9,930.00,1,""
750,Punto Blanco,12,1600.00,bajo Aidee,8,9,800.00,1,""
757,Punto Blanco,6,1300.00,"",8,9,650.00,1,""
763,Punto Blanco,1,1200.00,"",8,9,600.00,1,""
765,Punto Blanco,36,1860.00,"",8,9,930.00,1,""
765,Punto Blanco,3,1900.00,"",8,9,950.00,1,""
0770,Punto Blanco,1,1400.00,"",8,9,700.00,1,""
0771,Punto Blanco,2,1200.00,"",8,9,600.00,1,""
772,Punto Blanco,2,760.00,"",8,9,380.00,1,""
780,Punto Blanco,13,1100.00,"",8,9,550.00,1,""
782,Punto Blanco,3,1000.00,"",8,9,500.00,1,""
791,Punto Blanco,3,1640.00,"",8,9,820.00,1,""
792,Punto Blanco,2,1500.00,"",8,9,750.00,1,""
793,Punto Blanco,18,800.00,bajo Aidee,8,9,400.00,1,""
794,Punto Blanco,8,1700.00,"",8,9,850.00,1,""
796,Punto Blanco,20,800.00,bajo Aidee,8,9,400.00,1,""
797,Punto Blanco,11,1600.00,"",8,9,800.00,1,""
798,Punto Blanco,4,800.00,"",8,9,400.00,1,""
799,Punto Blanco,5,1600.00,"",8,9,800.00,1,""
801,Punto Blanco,17,700.00,"",8,9,350.00,1,""
802,Punto Blanco,2,1600.00,"",8,9,800.00,1,""
804,Punto Blanco,1,1200.00,bajo Aidee,8,9,600.00,1,""
807,Punto Blanco,12,1200.00,bajo Aidee,8,9,600.00,1,""
811,Punto Blanco,5,1720.00,"",8,9,860.00,1,""
812,Punto Blanco,6,1700.00,"",8,9,850.00,1,""
815,Punto Blanco,7,2200.00,"",8,9,1100.00,1,""
816,Punto Blanco,5,1700.00,"",8,9,850.00,1,""
819,Punto Blanco,17,1700.00,"",8,9,850.00,1,""
826,Punto Blanco,14,1500.00,"",8,9,750.00,1,""
827,Punto Blanco,6,1600.00,"",8,9,800.00,1,""
830,Punto Blanco,3,1360.00,"",8,9,680.00,1,""
831,Punto Blanco,2,1600.00,"",8,9,800.00,1,""
832,Punto Blanco,10,1360.00,"",8,9,680.00,1,""
833,Punto Blanco,7,1760.00,"",8,9,880.00,1,""
834,Punto Blanco,7,1460.00,"",8,9,730.00,1,""
834,Punto Blanco,2,1860.00,"",8,9,930.00,1,""
836,Punto Blanco,2,1700.00,"",8,9,850.00,1,""
837,Punto Blanco,3,1400.00,"",8,9,700.00,1,""
839,Punto Blanco,8,1600.00,"",8,9,800.00,1,""
840,Punto Blanco,9,1700.00,"",8,9,850.00,1,""
841,Punto Blanco,4,1860.00,"",8,9,930.00,1,""
842,Punto Blanco,0,1800.00,"",8,9,900.00,1,""
844,Punto Blanco,10,1600.00,"",8,9,800.00,1,""
845,Punto Blanco,6,1300.00,"",8,9,650.00,1,""
847,Punto Blanco,11,1640.00,"",8,9,820.00,1,""
848,Punto Blanco,11,1600.00,"",8,9,800.00,1,""
850,Punto Blanco,6,1700.00,"",8,9,850.00,1,""
851,Punto Blanco,12,1700.00,"",8,9,850.00,1,""
851,Cocoon,2,1840.00,"",1,1,920.00,1,""
852,Punto Blanco,16,2200.00,"",8,9,1100.00,1,""
853,Punto Blanco,10,1500.00,"",8,9,750.00,1,""
854,Punto Blanco,1,1700.00,"",8,9,850.00,1,""
Capa,Punto Blanco,20,260.00,"",8,9,130.00,1,""
2096,Lessan,6,1080.00,"",4,4,540.00,1,""
3819,Lessan,1,1500.00,"",4,4,750.00,1,""
3859,Lessan,6,1700.00,"",4,4,850.00,1,""
3898,Lessan,1,2260.00,"",4,4,1130.00,1,""
3917,Lessan,4,1220.00,"",4,4,610.00,1,""
3979,Lessan,16,1798.00,"",4,4,899.00,1,""
4005,Lessan,12,1100.00,"",4,4,550.00,1,""
4036,Lessan,11,1240.00,"",4,4,620.00,1,""
4042,Lessan,4,1400.00,"",4,4,700.00,1,""
4050,Lessan,1,1440.00,"",4,4,720.00,1,""
4054,Lessan,2,1440.00,"",4,4,720.00,1,""
4080,Lessan,3,1780.00,"",4,4,890.00,1,""
4082,Lessan,5,1240.00,"",4,4,620.00,1,""
4089,Lessan,4,1600.00,"",4,4,800.00,1,""
4095,Lessan,7,1900.00,"",4,4,950.00,1,""
4104,Lessan,1,2400.00,"",4,4,1200.00,1,""
4113,Lessan,2,1300.00,"",4,4,650.00,1,""
4119,Lessan,13,1320.00,"",4,4,660.00,1,""
4132,Lessan,0,1800.00,"",4,4,900.00,1,""
4137,Lessan,7,1760.00,"",4,4,880.00,1,""
4139,Lessan,5,1300.00,"",4,4,650.00,1,""
4150,Lessan,9,1800.00,"",4,4,900.00,1,""
4153,Lessan,3,1780.00,"",4,4,890.00,1,""
4154,Lessan,5,1780.00,"",4,4,890.00,1,""
4169,Lessan,4,1580.00,"",4,4,790.00,1,""
4174,Lessan,2,1998.00,"",4,4,999.00,1,""
4175,Lessan,0,2300.00,"",4,4,1150.00,1,""
4183,Lessan,4,1480.00,"",4,4,740.00,1,""
4195,Lessan,7,1860.00,"",4,4,930.00,1,""
4196,Lessan,6,1700.00,"",4,4,850.00,1,""
4206,Lessan,1,1600.00,"",4,4,800.00,1,""
4216,Lessan,5,1980.00,"",4,4,990.00,1,""
4214,Lessan,5,2998.00,"",4,4,1499.00,1,""
4218,Lessan,8,1440.00,"",4,4,720.00,1,""
4223,Lessan,2,1440.00,"",4,4,720.00,1,""
4224,Lessan,0,2360.00,"",4,4,1180.00,1,""
4229,Lessan,5,1100.00,"",4,4,550.00,1,""
4232,Lessan,13,2600.00,"",4,4,1300.00,1,""
4233,Lessan,5,1800.00,"",4,4,900.00,1,""
4234,Lessan,4,1920.00,"",4,4,960.00,1,""
4242,Lessan,0,1600.00,"",4,4,800.00,1,""
4258,Lessan,2,1780.00,"",4,4,890.00,1,""
4274,Lessan,4,1900.00,"",4,4,950.00,1,""
4291,Lessan,6,2380.00,"",4,4,1190.00,1,""
4297,Lessan,4,2500.00,"",4,4,1250.00,1,""
4304,Lessan,4,2398.00,"",4,4,1199.00,1,""
4308,Lessan,3,2300.00,"",4,4,1150.00,1,""
4312,Lessan,5,1700.00,"",4,4,850.00,1,""
4329,Lessan,5,1598.00,"",4,4,799.00,1,""
14028,Lessan,12,1240.00,"",4,4,620.00,1,""
14037,Lessan,7,1240.00,"",4,4,620.00,1,""
14043,Lessan,3,1980.00,"",4,4,990.00,1,""
14045,Lessan,5,2300.00,"",4,4,1150.00,1,""
14046,Lessan,1,2180.00,"",4,4,1090.00,1,""
14053,Lessan,5,1600.00,"",4,4,800.00,1,""
14056,Lessan,10,1400.00,"",4,4,700.00,1,""
14060,Lessan,4,1940.00,"",4,4,970.00,1,""
14061,Lessan,3,1720.00,"",4,4,860.00,1,""
